Solar
England,743058.00,0.01465026956,126.8888889,11433,10886,2783.551217,300.9143489,2482.636868
East Midlands,87552.00,0,134.5833333,0,0,0,0,0
East of England,105329.00,0,132.8333333,0,0,0,0,0
North East,47458.00,0,119.0833333,0,0,0,0,0
North West,85035.00,0,118.8333333,0,0,0,0,0
London,25810.00,0,134.0833333,0,0,0,0,0
South East,114235.00,0,134.0833333,0,0,0,0,0
South West,122607.00,0,130.1666667,0,0,0,0,0
West Midlands,71506.00,0,119.25,0,0,0,0,0
Yorkshire and the Humber,83526.00,0,119.0833333,0,0,0,0,0
Northern Ireland,23869.00,0.01227533621,112,334,293,2332.31388,273.6639874,2058.649893
Scotland,61449.00,0.005728327556,96.7,365,352,1088.382236,116.1671816,972.2150541
Wales,55773.00,0.01880838399,113.275,1092,1049,3573.592957,382.916465,3190.676492

On-shore wind
England,4009.00,7092,3074,1.769019706,336113.7441,52370.71589,283743.0282,
East Midlands,423.00,0,0,0,0,0,0,
East of England,870.00,0,0,0,0,0,0,
North East,275.00,0,0,0,0,0,0,
North West,513.00,0,0,0,0,0,0,
London,31.00,0,0,0,0,0,0,
South East,106.00,0,0,0,0,0,0,
South West,817.00,0,0,0,0,0,0,
West Midlands,175.00,0,0,0,0,0,0,
Yorkshire and the Humber,799.00,0,0,0,0,0,0,
Northern Ireland,1312.00,3000,1349,2.286585366,434451.2195,70226.14329,364225.0762,
Scotland,3512.00,18862,8299,5.370728929,1020438.497,161395.7005,859042.7961,
Wales,708.00,2865,1272,4.046610169,768855.9322,122708.4746,646147.4576

Off-shore wind
England,33.00,26592,8264,805.8181818,153105454.5,22696783.84,130408670.7,
East Midlands,3.00,0,0,0,0,0,0,
East of England,10.00,0,0,0,0,0,0,
North East,3.00,0,0,0,0,0,0,
North West,9.00,0,0,0,0,0,0,
London,0.00,0,0,0,0,0,0,
South East,5.00,0,0,0,0,0,0,
South West,0.00,0,0,0,0,0,0,
West Midlands,0.00,0,0,0,0,0,0,
Yorkshire and the Humber,3.00,0,0,0,0,0,0,
Northern Ireland,0.00,0,0,0,0,0,0,
Scotland,7.00,3161,898,451.5714286,85798571.43,11626961.9,74171609.52,
Wales,3.00,2223,724,741,140790000,21872844.44,118917155.6
